iter	Passed	Remaining
0	13	13836
1	36	18145
2	64	21360
3	71	17910
4	88	17527
5	102	16983
6	118	16783
7	123	15319
8	131	14482
9	140	13909
10	146	13153
11	153	12657
12	161	12251
13	167	11781
14	174	11446
15	179	11031
16	186	10774
17	191	10423
18	198	10224
19	205	10063
20	210	9811
21	218	9694
22	224	9524
23	231	9405
24	238	9317
25	245	9195
26	251	9054
27	257	8932
28	263	8837
29	292	9444
30	304	9522
31	325	9842
32	356	10455
33	365	10373
34	371	10253
35	376	10069
36	379	9885
37	383	9714
38	387	9546
39	392	9409
40	397	9290
41	401	9160
42	404	9012
43	408	8876
44	412	8759
45	419	8689
46	422	8563
47	425	8437
48	428	8318
49	432	8225
50	436	8119
51	439	8010
52	442	7910
53	446	7824
54	454	7801
55	458	7731
56	463	7673
57	470	7641
58	474	7561
59	477	7476
60	480	7401
61	483	7319
62	486	7240
63	490	7168
64	493	7103
65	497	7043
66	500	6972
67	504	6908
68	507	6840
69	510	6783
70	514	6726
71	516	6662
72	519	6600
73	523	6546
74	527	6501
75	530	6448
76	533	6396
77	536	6346
78	540	6301
79	545	6272
80	548	6224
81	551	6175
82	554	6129
83	557	6083
84	561	6045
85	564	6002
86	567	5956
87	570	5912
88	573	5869
89	576	5832
90	579	5791
91	583	5754
92	585	5713
93	589	5677
94	592	5647
95	596	5617
96	599	5584
97	604	5560
98	607	5532
99	610	5498
100	613	5464
101	617	5432
102	620	5400
103	623	5374
104	626	5342
105	629	5309
106	632	5278
107	635	5248
108	638	5219
109	641	5192
110	644	5162
111	647	5135
112	651	5112
113	654	5087
114	658	5063
115	661	5037
116	663	5010
117	666	4984
118	669	4957
119	672	4935
120	675	4910
121	678	4885
122	681	4862
123	685	4840
124	688	4819
125	691	4794
126	694	4771
127	697	4748
128	700	4728
129	704	4711
130	707	4691
131	710	4672
132	713	4649
133	716	4627
134	719	4610
135	722	4588
136	725	4567
137	727	4545
138	730	4524
139	733	4505
140	736	4488
141	739	4467
142	742	4447
143	744	4427
144	747	4409
145	751	4394
146	754	4375
147	757	4358
148	759	4339
149	762	4321
150	765	4303
151	768	4286
152	771	4269
153	774	4252
154	776	4233
155	779	4216
156	782	4203
157	785	4186
158	788	4169
159	790	4152
160	793	4136
161	796	4120
162	800	4109
163	803	4095
164	806	4081
165	809	4066
166	812	4053
167	816	4041
168	818	4025
169	821	4010
170	824	3995
171	827	3981
172	831	3973
173	834	3960
174	837	3947
175	840	3932
176	842	3918
177	845	3904
178	848	3891
179	851	3877
180	853	3864
181	856	3850
182	859	3838
183	864	3832
184	867	3821
185	870	3808
186	873	3796
187	875	3782
188	879	3772
189	881	3759
190	884	3747
191	887	3735
192	890	3724
193	893	3713
194	896	3702
195	899	3689
196	902	3678
197	905	3668
198	908	3657
199	912	3648
200	915	3638
201	918	3627
202	921	3616
203	923	3604
204	927	3595
205	930	3585
206	933	3575
207	936	3564
208	938	3553
209	951	3578
210	954	3569
211	958	3560
212	961	3550
213	963	3539
214	966	3529
215	969	3517
216	972	3507
217	975	3500
218	978	3490
219	981	3480
220	984	3470
221	987	3461
222	991	3453
223	993	3442
224	997	3434
225	1000	3424
226	1003	3415
227	1006	3407
228	1009	3397
229	1012	3388
230	1014	3378
231	1017	3368
232	1020	3360
233	1023	3351
234	1026	3342
235	1029	3333
236	1032	3324
237	1035	3315
238	1039	3308
239	1042	3300
240	1045	3291
241	1048	3283
242	1051	3274
243	1054	3267
244	1058	3262
245	1061	3253
246	1063	3243
247	1066	3234
248	1070	3227
249	1073	3219
250	1075	3210
251	1078	3201
252	1081	3193
253	1084	3186
254	1089	3181
255	1092	3175
256	1095	3166
257	1098	3158
258	1101	3150
259	1104	3143
260	1107	3134
261	1109	3126
262	1112	3118
263	1115	3110
264	1119	3105
265	1122	3097
266	1126	3091
267	1129	3086
268	1132	3078
269	1136	3072
270	1139	3065
271	1143	3059
272	1146	3052
273	1150	3048
274	1154	3042
275	1157	3037
276	1160	3030
277	1164	3023
278	1167	3017
279	1170	3009
280	1173	3003
281	1176	2994
282	1179	2987
283	1183	2982
284	1185	2975
285	1189	2969
286	1192	2961
287	1194	2954
288	1198	2947
289	1201	2940
290	1204	2934
291	1207	2927
292	1209	2919
293	1213	2914
294	1216	2907
295	1220	2902
296	1222	2894
297	1224	2885
298	1228	2880
299	1232	2875
300	1234	2867
301	1237	2860
302	1240	2854
303	1243	2847
304	1246	2841
305	1250	2836
306	1254	2830
307	1257	2825
308	1260	2819
309	1264	2813
310	1266	2806
311	1269	2800
312	1272	2793
313	1275	2786
314	1278	2781
315	1282	2775
316	1284	2767
317	1287	2762
318	1290	2755
319	1294	2751
320	1298	2746
321	1301	2739
322	1304	2733
323	1306	2726
324	1310	2721
325	1314	2717
326	1317	2710
327	1320	2704
328	1322	2697
329	1326	2693
330	1330	2688
331	1333	2682
332	1336	2677
333	1339	2671
334	1343	2666
335	1346	2660
336	1349	2654
337	1352	2648
338	1354	2641
339	1357	2635
340	1360	2629
341	1363	2623
342	1366	2617
343	1368	2610
344	1372	2605
345	1375	2599
346	1378	2593
347	1381	2587
348	1384	2582
349	1387	2577
350	1390	2571
351	1393	2564
352	1396	2558
353	1398	2552
354	1401	2547
355	1405	2541
356	1408	2536
357	1411	2530
358	1414	2525
359	1417	2519
360	1420	2514
361	1423	2508
362	1426	2503
363	1429	2498
364	1432	2492
365	1436	2487
366	1439	2482
367	1442	2477
368	1445	2471
369	1448	2465
370	1450	2459
371	1454	2455
372	1457	2450
373	1460	2445
374	1463	2439
375	1467	2434
376	1470	2429
377	1473	2424
378	1476	2418
379	1479	2413
380	1482	2408
381	1485	2403
382	1488	2397
383	1491	2392
384	1494	2387
385	1498	2383
386	1501	2378
387	1504	2373
388	1507	2367
389	1510	2362
390	1513	2356
391	1516	2352
392	1519	2346
393	1521	2340
394	1524	2335
395	1527	2330
396	1530	2325
397	1533	2320
398	1537	2315
399	1540	2310
400	1542	2304
401	1545	2299
402	1548	2294
403	1552	2290
404	1555	2285
405	1558	2279
406	1560	2274
407	1564	2269
408	1567	2264
409	1570	2260
410	1573	2254
411	1576	2249
412	1580	2245
413	1583	2240
414	1585	2235
415	1588	2230
416	1591	2225
417	1594	2220
418	1597	2215
419	1600	2210
420	1603	2204
421	1606	2199
422	1608	2194
423	1611	2189
424	1614	2184
425	1617	2179
426	1619	2173
427	1622	2168
428	1626	2164
429	1629	2159
430	1631	2154
431	1634	2149
432	1637	2144
433	1640	2139
434	1643	2135
435	1647	2131
436	1650	2126
437	1653	2121
438	1656	2116
439	1659	2112
440	1663	2108
441	1666	2103
442	1668	2098
443	1671	2093
444	1674	2088
445	1677	2083
446	1680	2078
447	1683	2074
448	1686	2069
449	1689	2064
